"2002","Semestre 1","41,04"
"2002";"Semestre 2";"41,42"
"2003";"Semestre 1";"41,83"
"2003";"Semestre 2";"42,2"
"2004";"Semestre 1";"42,55"
"2004";"Semestre 2";"42,86"
"2005";"Semestre 1";"43,3"
"2005";"Semestre 2";"43,66"
"2006";"Semestre 1";"44,01"
"2006";"Semestre 2";"44,36"
"2007";"Semestre 1";"44,78"
"2007";"Semestre 2";"45,24"
"2008";"Semestre 1";"45,67"
"2008";"Semestre 2";"45,98"
"2009";"Semestre 1";"46,24"
"2009";"Semestre 2";"46,37"
"2010";"Semestre 1";"46,49"
"2010";"Semestre 2";"46,56"
"2011";"Semestre 1";"46,67"
"2011";"Semestre 2";"46,74"
"2012";"Semestre 1";"46,82"
"2012";"Semestre 2";"46,77"
"2013";"Semestre 1";"46,73"
"2013";"Semestre 2";"46,59"
"2014";"Semestre 1";"46,51"
"2014";"Semestre 2";"46,46"
"2015";"Semestre 1";"46,45"
"2015";"Semestre 2";"46,41"
"2016";"Semestre 1";"46,44"
"2016";"Semestre 2";"46,45"
"2017";"Semestre 1";"46,53"
"2017";"Semestre 2";"46,53"
"2018";"Semestre 1";"46,66"
"2018";"Semestre 2";"46,73"
"2019";"Semestre 1";"46,94"
"2019";"Semestre 2";"47,11"
"2020";"Semestre 1";"47,33"
"2020";"Semestre 2";"47,35"
"2021";"Semestre 1";"47,39"
